frame,id,x,y,width,height,xVelocity,yVelocity,xAcceleration,yAcceleration,frontSightDistance,backSightDistance,dhw,thw,ttc,precedingXVelocity,precedingId,followingId,leftPrecedingId,leftAlongsideId,leftFollowingId,rightPrecedingId,rightAlongsideId,rightFollowingId,laneId
28083,2315,2.19,25.42,4.75,1.82,32.17,0.18,-0.09,-0.0,405.24,3.64,93.36,2.9,20.21,27.56,2307,0,2313,0,0,2309,0,0,7
28084,2315,3.38,25.43,4.75,1.82,32.17,0.18,-0.09,-0.01,403.87,5.0,93.27,2.9,20.18,27.55,2307,0,2313,0,0,2309,0,0,7
28085,2315,4.61,25.43,4.75,1.82,32.16,0.18,-0.09,-0.01,402.56,6.32,93.15,2.89,20.14,27.54,2307,0,2313,0,0,2309,0,0,7
28086,2315,5.86,25.44,4.75,1.82,32.16,0.18,-0.08,-0.01,401.3,7.58,93.02,2.89,20.1,27.54,2307,0,2313,0,0,2309,0,0,7
28087,2315,7.12,25.45,4.75,1.82,32.16,0.18,-0.08,-0.02,399.98,8.89,92.86,2.88,20.04,27.53,2307,0,2313,0,0,2309,0,0,7
28088,2315,8.4,25.46,4.75,1.82,32.15,0.18,-0.07,-0.02,398.72,10.16,92.69,2.88,19.98,27.52,2307,0,2313,0,0,2309,0,0,7
28089,2315,9.68,25.46,4.75,1.82,32.15,0.18,-0.07,-0.03,397.31,11.57,92.51,2.87,19.91,27.51,2307,0,2313,0,0,2309,0,0,7
28090,2315,10.95,25.47,4.75,1.82,32.15,0.17,-0.06,-0.03,396.14,12.73,92.33,2.87,19.85,27.5,2307,0,2313,0,0,2309,0,0,7
28091,2315,12.23,25.48,4.75,1.82,32.15,0.17,-0.06,-0.03,394.83,14.05,92.15,2.86,19.78,27.49,2307,0,2313,0,0,2309,0,0,7
28092,2315,13.51,25.49,4.75,1.82,32.14,0.17,-0.05,-0.03,393.57,15.31,91.96,2.86,19.7,27.48,2307,0,2313,0,0,2309,0,0,7
28093,2315,14.8,25.49,4.75,1.82,32.14,0.17,-0.05,-0.04,392.31,16.57,91.77,2.85,19.63,27.47,2307,0,2313,0,0,2309,0,0,7
28094,2315,16.09,25.5,4.75,1.82,32.14,0.16,-0.05,-0.04,390.89,17.99,91.57,2.85,19.55,27.46,2307,0,2313,0,0,2309,0,0,7
28095,2315,17.36,25.51,4.75,1.82,32.14,0.16,-0.04,-0.04,389.6,19.15,91.39,2.84,19.47,27.45,2307,0,2313,0,0,2309,0,0,7
28096,2315,18.65,25.52,4.75,1.82,32.14,0.16,-0.04,-0.05,388.34,20.41,91.2,2.83,19.39,27.44,2307,0,2313,0,0,2309,0,0,7
28097,2315,19.94,25.52,4.75,1.82,32.14,0.16,-0.03,-0.05,387.02,21.73,91.01,2.83,19.3,27.43,2307,0,2313,0,0,2309,0,0,7
28098,2315,21.23,25.53,4.75,1.82,32.13,0.15,-0.03,-0.05,385.71,23.04,90.81,2.82,19.22,27.41,2307,0,2313,0,0,2309,0,0,7
28099,2315,22.53,25.53,4.75,1.82,32.13,0.15,-0.03,-0.05,384.3,24.46,90.61,2.82,19.13,27.4,2307,0,2313,0,0,2309,0,0,7
28100,2315,23.81,25.54,4.75,1.82,32.13,0.14,-0.03,-0.05,383.13,25.62,90.43,2.81,19.05,27.39,2307,0,2313,0,0,2309,0,0,7
28101,2315,25.1,25.55,4.75,1.82,32.13,0.14,-0.02,-0.06,381.87,26.88,90.25,2.81,18.96,27.38,2307,0,2313,0,0,2309,0,0,7
28102,2315,26.38,25.55,4.75,1.82,32.13,0.14,-0.02,-0.06,380.56,28.2,90.06,2.8,18.87,27.36,2307,0,2313,0,0,2309,0,0,7
28103,2315,27.67,25.56,4.75,1.82,32.13,0.13,-0.02,-0.06,379.29,29.46,89.87,2.79,18.78,27.35,2307,0,2313,0,0,2309,0,0,7
28104,2315,28.97,25.56,4.75,1.82,32.13,0.13,-0.01,-0.06,377.88,30.87,89.66,2.79,18.69,27.34,2307,0,2313,0,0,2309,0,0,7
28105,2315,30.25,25.57,4.75,1.82,32.13,0.13,-0.01,-0.06,376.9,31.99,89.47,2.78,18.59,27.32,2307,0,2313,0,0,2309,0,0,7
28106,2315,31.55,25.57,4.75,1.82,32.13,0.12,-0.01,-0.06,375.48,33.4,89.28,2.78,18.5,27.31,2307,0,2313,0,0,2309,0,0,7
28107,2315,32.83,25.58,4.75,1.82,32.13,0.12,-0.0,-0.06,374.22,34.66,89.08,2.77,18.41,27.29,2307,0,2313,0,0,2309,0,0,7
28108,2315,34.12,25.58,4.75,1.82,32.13,0.11,-0.0,-0.06,372.95,35.93,88.89,2.76,18.31,27.28,2307,0,2313,0,0,2309,0,0,7
28109,2315,35.41,25.58,4.75,1.82,32.13,0.11,0.0,-0.06,371.46,37.29,88.69,2.76,18.21,27.26,2307,0,2313,0,0,2309,0,0,7
28110,2315,36.69,25.59,4.75,1.82,32.13,0.11,0.01,-0.06,370.25,38.5,88.5,2.75,18.12,27.25,2307,0,2313,0,0,2309,0,0,7
28111,2315,37.97,25.59,4.75,1.82,32.13,0.1,0.01,-0.06,368.99,39.77,88.31,2.75,18.02,27.23,2307,0,2313,0,0,2309,0,0,7
28112,2315,39.25,25.6,4.75,1.82,32.13,0.1,0.01,-0.06,367.67,41.08,88.11,2.74,17.92,27.22,2307,0,2313,0,0,2309,0,0,7
28113,2315,40.54,25.6,4.75,1.82,32.13,0.1,0.02,-0.06,366.36,42.39,87.92,2.73,17.83,27.2,2307,0,2313,0,0,2309,0,0,7
