frame,id,x,y,width,height,xVelocity,yVelocity,xAcceleration,yAcceleration,frontSightDistance,backSightDistance,dhw,thw,ttc,precedingXVelocity,precedingId,followingId,leftPrecedingId,leftAlongsideId,leftFollowingId,rightPrecedingId,rightAlongsideId,rightFollowingId,laneId
21375,1583,4.57,34.34,5.56,2.12,34.13,-0.45,-0.81,-0.01,405.58,4.13,26.74,0.78,7.23,30.45,1582,0,1564,0,0,1577,0,0,7
21376,1583,5.79,34.32,5.56,2.12,34.1,-0.46,-0.81,-0.02,404.37,5.62,26.72,0.78,7.27,30.44,1582,0,1564,0,0,1577,0,0,7
21377,1583,7.06,34.31,5.56,2.12,34.07,-0.46,-0.82,-0.03,402.95,6.95,26.66,0.78,7.3,30.43,1582,0,1564,0,0,1577,0,0,7
21378,1583,8.36,34.29,5.56,2.12,34.03,-0.46,-0.82,-0.04,401.69,8.22,26.57,0.78,7.33,30.42,1582,0,1564,0,0,1577,0,0,7
21379,1583,9.69,34.27,5.56,2.12,34.0,-0.47,-0.84,-0.05,400.32,9.59,26.46,0.78,7.34,30.41,1582,0,1564,0,0,1577,0,0,7
21380,1583,11.04,34.25,5.56,2.12,33.97,-0.47,-0.85,-0.06,398.91,11.0,26.32,0.77,7.35,30.4,1582,0,1564,0,0,1577,0,0,7
21381,1583,12.4,34.23,5.56,2.12,33.94,-0.48,-0.87,-0.06,397.55,12.38,26.18,0.77,7.36,30.39,1582,0,1564,0,0,1577,0,0,7
21382,1583,13.77,34.22,5.56,2.12,33.9,-0.48,-0.89,-0.07,396.16,13.74,26.03,0.76,7.36,30.38,1582,0,1564,0,0,1577,0,0,7
21383,1583,15.14,34.2,5.56,2.12,33.87,-0.49,-0.91,-0.08,394.77,15.07,25.88,0.76,7.37,30.37,1582,0,1564,0,0,1577,0,0,7
21384,1583,16.51,34.18,5.56,2.12,33.84,-0.5,-0.94,-0.08,393.34,16.56,25.72,0.76,7.38,30.36,1582,0,1564,0,0,1577,0,0,7
21385,1583,17.88,34.16,5.56,2.12,33.8,-0.5,-0.97,-0.09,391.97,17.82,25.57,0.75,7.39,30.35,1582,0,1564,0,0,1577,0,0,7
21386,1583,19.25,34.14,5.56,2.12,33.76,-0.51,-1.0,-0.1,390.67,19.24,25.42,0.75,7.41,30.34,1582,0,1564,0,0,1577,0,0,7
21387,1583,20.62,34.12,5.56,2.12,33.72,-0.52,-1.04,-0.1,389.25,20.64,25.26,0.75,7.42,30.33,1582,0,1564,0,0,1577,0,0,7
21388,1583,21.99,34.1,5.56,2.12,33.68,-0.53,-1.07,-0.11,387.84,22.06,25.1,0.74,7.44,30.32,1582,0,1564,0,0,1577,0,0,7
21389,1583,23.36,34.08,5.56,2.12,33.64,-0.53,-1.11,-0.11,386.53,23.37,24.95,0.74,7.47,30.31,1582,0,1564,0,0,1577,0,0,7
21390,1583,24.72,34.06,5.56,2.12,33.6,-0.54,-1.15,-0.12,385.16,24.75,24.79,0.73,7.49,30.3,1582,0,1564,0,0,1577,0,0,7
21391,1583,26.08,34.04,5.56,2.12,33.55,-0.55,-1.2,-0.12,383.67,26.1,24.63,0.73,7.52,30.29,1582,0,1564,0,0,1577,0,0,7
21392,1583,27.45,34.01,5.56,2.12,33.5,-0.56,-1.24,-0.12,382.35,27.49,24.48,0.73,7.56,30.28,1582,0,0,0,0,1577,0,0,7
21393,1583,28.81,33.99,5.56,2.12,33.45,-0.57,-1.29,-0.13,381.07,28.84,24.31,0.72,7.6,30.27,1582,0,0,0,0,1577,0,0,7
21394,1583,30.18,33.97,5.56,2.12,33.4,-0.58,-1.34,-0.13,379.81,30.13,24.14,0.72,7.64,30.26,1582,0,0,0,0,1577,0,0,7
21395,1583,31.56,33.94,5.56,2.12,33.35,-0.59,-1.39,-0.13,378.29,31.62,23.97,0.72,7.69,30.25,1582,0,0,0,0,1577,0,0,7
21396,1583,32.94,33.92,5.56,2.12,33.29,-0.6,-1.44,-0.13,376.97,32.93,23.81,0.71,7.75,30.23,1582,0,0,0,0,1577,0,0,7
21397,1583,34.3,33.9,5.56,2.12,33.24,-0.6,-1.49,-0.13,375.63,34.32,23.66,0.71,7.81,30.22,1582,0,0,0,0,1577,0,0,7
21398,1583,35.67,33.87,5.56,2.12,33.18,-0.61,-1.55,-0.13,374.19,35.8,23.51,0.71,7.89,30.21,1582,0,0,0,0,1577,0,0,7
21399,1583,37.03,33.85,5.56,2.12,33.12,-0.62,-1.6,-0.13,372.88,37.1,23.36,0.7,7.97,30.2,1582,0,0,0,0,1577,0,0,7
21400,1583,38.4,33.82,5.56,2.12,33.05,-0.63,-1.65,-0.13,371.51,38.47,23.2,0.7,8.06,30.19,1582,0,0,0,0,1577,0,0,7
21401,1583,39.76,33.8,5.56,2.12,32.99,-0.64,-1.7,-0.13,370.11,39.81,23.05,0.7,8.17,30.17,1582,0,0,0,0,1577,0,0,7
21402,1583,41.12,33.77,5.56,2.12,32.92,-0.65,-1.75,-0.13,368.74,41.17,22.9,0.69,8.28,30.16,1582,0,0,0,0,1577,0,0,7
21403,1583,42.47,33.75,5.56,2.12,32.85,-0.66,-1.81,-0.12,367.38,42.54,22.76,0.69,8.41,30.15,1582,0,0,0,0,1577,0,0,7
21404,1583,43.81,33.72,5.56,2.12,32.77,-0.67,-1.85,-0.12,366.06,43.85,22.63,0.69,8.55,30.14,1582,0,0,0,0,1577,0,0,7
21405,1583,45.15,33.69,5.56,2.12,32.7,-0.68,-1.9,-0.12,364.62,45.25,22.49,0.68,8.7,30.13,1582,0,0,0,0,1577,0,0,7
21406,1583,46.49,33.66,5.56,2.12,32.62,-0.68,-1.95,-0.12,363.38,46.53,22.36,0.68,8.87,30.11,1582,0,0,0,0,1577,0,0,7
21407,1583,47.82,33.64,5.56,2.12,32.54,-0.69,-1.99,-0.11,362.06,47.93,22.22,0.68,9.05,30.1,1582,0,0,0,0,1577,0,0,7
21408,1583,49.16,33.61,5.56,2.12,32.46,-0.7,-2.03,-0.11,360.71,49.29,22.09,0.68,9.26,30.09,1582,0,0,0,0,1577,0,0,7
21409,1583,50.49,33.58,5.56,2.12,32.38,-0.71,-2.07,-0.1,359.28,50.7,21.96,0.68,9.48,30.07,1582,0,0,0,0,1577,0,0,7
21410,1583,51.81,33.55,5.56,2.12,32.3,-0.72,-2.11,-0.1,357.99,52.02,21.85,0.67,9.73,30.06,1582,0,0,0,0,1577,0,0,7
21411,1583,53.12,33.53,5.56,2.12,32.21,-0.72,-2.15,-0.09,356.82,53.2,21.73,0.67,10.01,30.05,1582,0,0,0,0,1577,0,0,7
21412,1583,54.44,33.5,5.56,2.12,32.12,-0.73,-2.18,-0.08,355.26,54.7,21.61,0.67,10.31,30.04,1582,0,0,0,0,1577,0,0,7
21413,1583,55.75,33.47,5.56,2.12,32.03,-0.74,-2.21,-0.08,354.14,55.86,21.52,0.67,10.65,30.02,1582,0,0,0,0,1577,0,0,7
21414,1583,57.05,33.43,5.56,2.12,31.95,-0.75,-2.23,-0.07,352.77,57.23,21.42,0.67,11.02,30.01,1582,0,0,0,0,1577,0,0,7
21415,1583,58.34,33.4,5.56,2.12,31.85,-0.75,-2.26,-0.06,351.36,58.54,21.33,0.67,11.43,30.0,1582,0,0,0,0,1577,0,0,7
21416,1583,59.61,33.37,5.56,2.12,31.76,-0.76,-2.27,-0.05,350.26,59.77,21.25,0.67,11.89,29.98,1582,0,0,0,0,1577,0,0,7
21417,1583,60.87,33.34,5.56,2.12,31.67,-0.76,-2.29,-0.04,349.02,60.97,21.18,0.67,12.4,29.97,1582,0,0,0,0,1577,0,0,7
21418,1583,62.14,33.31,5.56,2.12,31.58,-0.77,-2.3,-0.04,347.67,62.33,21.09,0.66,12.96,29.96,1582,0,0,0,0,1577,0,0,7
21419,1583,63.41,33.28,5.56,2.12,31.48,-0.77,-2.31,-0.03,346.46,63.56,0.0,0.0,0.0,0.0,0,0,0,0,0,1582,0,0,6
21420,1583,64.67,33.24,5.56,2.12,31.39,-0.77,-2.32,-0.02,345.13,64.87,0.0,0.0,0.0,0.0,0,0,0,0,0,1582,0,0,6
21421,1583,65.92,33.21,5.56,2.12,31.3,-0.77,-2.32,-0.01,343.93,66.09,0.0,0.0,0.0,0.0,0,0,0,0,0,1582,0,0,6
21422,1583,67.16,33.18,5.56,2.12,31.2,-0.78,-2.32,0.0,342.73,67.53,0.0,0.0,0.0,0.0,0,0,0,0,0,1582,0,0,6
21423,1583,68.42,33.15,5.56,2.12,31.11,-0.78,-2.31,0.01,341.32,68.53,0.0,0.0,0.0,0.0,0,0,0,0,0,1582,0,0,6
21424,1583,69.66,33.11,5.56,2.12,31.01,-0.78,-2.31,0.02,340.07,69.91,0.0,0.0,0.0,0.0,0,0,0,0,0,1582,0,0,6
21425,1583,70.89,33.08,5.56,2.12,30.92,-0.78,-2.29,0.03,338.98,71.04,0.0,0.0,0.0,0.0,0,0,0,0,0,1582,0,0,6
21426,1583,72.13,33.05,5.56,2.12,30.83,-0.77,-2.28,0.04,337.65,72.31,0.0,0.0,0.0,0.0,0,0,0,0,0,1582,0,0,6
21427,1583,73.34,33.02,5.56,2.12,30.74,-0.77,-2.26,0.05,336.48,73.52,0.0,0.0,0.0,0.0,0,0,0,0,0,1582,0,0,6
21428,1583,74.54,32.98,5.56,2.12,30.64,-0.77,-2.24,0.06,335.32,74.68,0.0,0.0,0.0,0.0,0,0,0,0,0,1582,0,0,6
21429,1583,75.74,32.95,5.56,2.12,30.55,-0.77,-2.22,0.07,334.02,75.99,0.0,0.0,0.0,0.0,0,0,0,0,0,1582,0,0,6
21430,1583,76.94,32.92,5.56,2.12,30.46,-0.76,-2.19,0.08,332.81,77.1,0.0,0.0,0.0,0.0,0,0,0,0,0,1582,0,0,6
21431,1583,78.13,32.89,5.56,2.12,30.37,-0.76,-2.16,0.09,331.65,78.35,0.0,0.0,0.0,0.0,0,0,0,0,0,1582,0,0,6
